selection,subgraph_nodes,subgraph_edges,sampling_size,trial,trial_seed,u,v,delta_aspl
centrality_topk,100,799,10,0,1390851128,624,414,-0.0014842300556585641
centrality_topk,100,799,10,0,1390851128,608,414,-0.0014842300556585641
centrality_topk,100,799,10,0,1390851128,414,585,-0.0014842300556585641
centrality_topk,100,799,10,0,1390851128,414,602,-0.0014842300556585641
centrality_topk,100,799,10,0,1390851128,414,656,0.010101010101010166
centrality_topk,100,799,10,0,1390851128,648,414,0.007070707070707227
centrality_topk,100,799,10,0,1390851128,414,576,0.008080808080808133
centrality_topk,100,799,10,0,1390851128,414,628,0.008080808080808133
centrality_topk,100,799,10,0,1390851128,577,414,0.008080808080808133
centrality_topk,100,799,10,0,1390851128,414,665,0.008080808080808133
centrality_topk,100,799,10,0,1390851128,650,414,0.008080808080808133
centrality_topk,100,799,10,0,1390851128,662,414,0.008080808080808133
centrality_topk,100,799,10,0,1390851128,632,414,0.008080808080808133
centrality_topk,100,799,10,0,1390851128,414,599,0.09696969696969693
centrality_topk,100,799,10,0,1390851128,658,414,0.008080808080808133
centrality_topk,100,799,10,0,1390851128,414,578,0.09696969696969693
centrality_topk,100,799,10,0,1390851128,615,414,0.008080808080808133
centrality_topk,100,799,10,0,1390851128,414,661,0.008080808080808133
centrality_topk,100,799,10,0,1390851128,660,414,0.009090909090909038
centrality_topk,100,799,10,0,1390851128,667,414,0.005050505050505194
centrality_topk,100,799,10,0,1390851128,480,414,0.0060606060606061
centrality_topk,100,799,10,0,1390851128,414,593,0.0060606060606061
centrality_topk,100,799,10,0,1390851128,671,414,0.0060606060606061
centrality_topk,100,799,10,0,1390851128,414,34,0.07373737373737388
centrality_topk,100,799,10,0,1390851128,657,414,0.0060606060606061
centrality_topk,100,799,10,0,1390851128,634,414,0.0060606060606061
centrality_topk,100,799,10,0,1390851128,679,414,0.007070707070707227
centrality_topk,100,799,10,0,1390851128,558,414,0.06666666666666665
centrality_topk,100,799,10,0,1390851128,676,414,0.005050505050505194
centrality_topk,100,799,10,0,1390851128,621,414,0.0060606060606061
centrality_topk,100,799,10,0,1390851128,414,629,0.0060606060606061
centrality_topk,100,799,10,0,1390851128,631,414,0.0060606060606061
centrality_topk,100,799,10,0,1390851128,434,414,0.005050505050505194
centrality_topk,100,799,10,0,1390851128,663,414,0.005050505050505194
centrality_topk,100,799,10,0,1390851128,603,414,0.007070707070707227
centrality_topk,100,799,10,0,1390851128,563,414,0.005050505050505194
centrality_topk,100,799,10,0,1390851128,414,672,0.0060606060606061
centrality_topk,100,799,10,0,1390851128,414,611,0.007070707070707227
centrality_topk,100,799,10,0,1390851128,374,414,0.005050505050505194
centrality_topk,100,799,10,0,1390851128,606,414,0.005050505050505194
centrality_topk,100,799,10,0,1390851128,414,633,0.007070707070707227
centrality_topk,100,799,10,0,1390851128,414,575,0.06060606060606055
centrality_topk,100,799,10,0,1390851128,414,580,0.0060606060606061
centrality_topk,100,799,10,0,1390851128,414,431,0.005050505050505194
centrality_topk,100,799,10,0,1390851128,682,414,0.0060606060606061
centrality_topk,100,799,10,0,1390851128,626,414,0.0060606060606061
centrality_topk,100,799,10,0,1390851128,623,414,0.007070707070707227
centrality_topk,100,799,10,0,1390851128,414,622,0.0060606060606061
