selection,subgraph_nodes,sampling_size,n_edges,delta_mean,delta_median,delta_p90,delta_p99,delta_max
centrality_topk,100,10,100,0.0062743764172336226,0.0010101010101011276,0.008080808080808133,0.09595959595959602,0.09595959595959602
centrality_topk,100,30,100,0.005505423695078921,0.00033670033670030186,0.0223569023569025,0.039057239057239235,0.039057239057239235
centrality_topk,100,50,100,0.0062851522303418,0.00040404040404040664,0.02062626262626275,0.026464646464646524,0.026464646464646524
centrality_topk,100,100,100,0.006252236652236727,0.00020202020202031434,0.017777777777777892,0.017777777777777892,0.017777777777777892
centrality_topk,200,10,100,0.0006281407035175568,0.0005025125628139726,0.0015075376884421399,0.0015075376884421399,0.0015075376884421399
centrality_topk,200,30,100,0.001358458961473985,0.00016750418760458352,0.0011725293132327508,0.011819095477386849,0.021105527638190846
centrality_topk,200,50,100,0.0017989949748743084,0.0001005025125626613,0.00767839195979894,0.008859296482411948,0.010351758793969879
centrality_topk,200,100,100,0.0014452261306532677,0.00012562814070360417,0.005025125628140614,0.005804020100502511,0.008291457286432102
centrality_topk,400,10,100,0.0027415985524951434,0.0025062656641603454,0.0025062656641603454,0.0034786967418550785,0.09974937343358392
centrality_topk,400,30,100,0.0024502207404377896,0.0025062656641603454,0.0025062656641605674,0.03393567251461992,0.03567251461988308
centrality_topk,400,50,100,0.0031586829600924026,0.0024561403508773783,0.0025062656641605674,0.02205864661654149,0.022406015037594207
centrality_topk,400,100,100,0.003544839542895595,0.002456140350877156,0.01211027568922316,0.012456140350877165,0.012456140350877165
centrality_topk,800,10,100,0.005847335798821272,0.001126408010012625,0.0012515644555697314,0.04497371714643494,0.4085106382978725
centrality_topk,800,30,100,0.007158340678563521,0.0011681268251981791,0.0046725073007927165,0.060246558197749156,0.3952440550688361
centrality_topk,800,50,100,0.0062290767594832055,0.0011889862327909562,0.0012690863579476923,0.0755962453066348,0.343404255319149
centrality_topk,800,100,100,0.006668219487733867,0.0012015018773468,0.006959949937421718,0.07030488110137802,0.339624530663329
centrality_topk,1200,10,100,0.00706160183569779,0.0005838198498748781,0.0008340283569641116,0.1370241868223529,0.3345287739783154
centrality_topk,1200,30,100,0.006318564255224684,0.0006116207951070152,0.003808729496802781,0.10138198498749021,0.2904920767306085
centrality_topk,1200,50,100,0.006101891531757828,0.0006505421184319626,0.003531276063386425,0.13642418682235274,0.2679232693911593
centrality_topk,1200,100,100,0.005707444728023492,0.0007422852376981481,0.004805671392827421,0.10179557964970917,0.26056713928273556
random_edges,100,10,100,0.0011515151515151833,0.0,0.0010101010101011276,0.0075353535353539286,0.05353535353535355
random_edges,100,30,100,0.0012053872053872517,0.00033670033670030186,0.0007744107744109249,0.022562289562289672,0.02289562289562297
random_edges,100,50,100,0.0007010101010101666,0.00020202020202031434,0.00040404040404040664,0.015363636363636466,0.016363636363636358
random_edges,100,100,100,0.0006484848484849581,0.00020202020202031434,0.00020202020202031434,0.01677777777777778,0.017777777777777892
random_edges,200,10,100,0.000150753768844214,0.0,5.025125628140155e-05,0.0015829145728642898,0.009045226130653283
random_edges,200,30,100,7.872696817417423e-05,0.0,0.00016750418760458352,0.001006700167503994,0.0011725293132327508
random_edges,200,50,100,5.125628140697058e-05,0.0,0.0001005025125626613,0.00020100502512554463,0.00020100502512554463
random_edges,200,100,100,7.939698492465786e-05,5.025125628144167e-05,0.00010050251256288334,0.0006070351758793711,0.0010050251256281673
random_edges,400,10,100,0.0008395989974937423,0.0,0.0015037593984963404,0.003097744360902504,0.06165413533834596
random_edges,400,30,100,0.0002113617376775445,0.0,0.0009857978279030513,0.002174603174603319,0.002422723475355104
random_edges,400,50,100,7.418546365920431e-05,0.0,5.012531328341119e-05,0.001761904761904773,0.0025062656641605674
random_edges,400,100,100,0.0003912280701754356,0.0,0.0016140350877193574,0.008450877192982606,0.008922305764410998
random_edges,800,10,100,6.382978723405319e-05,0.0,0.0,0.0012578222778475811,0.001877346683354375
random_edges,800,30,100,8.510638297877904e-05,0.0,4.171881518599818e-05,0.0012515644555697314,0.0012515644555697314
random_edges,800,50,100,7.759699624527716e-05,0.0,7.759699624529957e-05,0.0011276595744681968,0.0012515644555697314
random_edges,800,100,100,4.5807259073753495e-05,0.0,1.2515644555399774e-05,0.0009026282853563402,0.001051314142678006
random_edges,1200,10,100,1.4178482068389896e-05,0.0,0.0,0.0006672226855712893,0.0006672226855712893
random_edges,1200,30,100,5.4211843202667255e-05,0.0,2.7800945232137053e-05,0.0006207951070336393,0.004281345565749106
random_edges,1200,50,100,0.00020733944954128168,0.0,1.6680567139104596e-05,0.0005477898248539626,0.020100083402835978
random_edges,1200,100,100,3.21934945788227e-05,0.0,9.174311926552009e-06,0.0006769808173481236,0.000817347789825007
